,,,,,,,,,,,,,,,,,
Week 1,,,,,Day 1,,,Day 2,,,Day 3,,,Day 4,,,Day 5
,,,,,,,,,,,,,,,,,
Basic Measurement 101,,,,Period 1,Mics,,,Mics,,,Math,,,Math,,,Mics
,,,,,,,,,,,,,,,,,
Basics of Tolerance 121,,,,,,,,,,,,,,,,,
,,,,Period 2,Interview,,,Machine Theory,,,Parts,,,Parts,,,Blueprints
Units of Measurement 112,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Math Fundamentals 101,,,,Period 3,Parts,,,Blueprints,,,Speeds/Feeds,,,Vice,,,Parts
,,,,,,,,,,,,,,,,,
Math: Fractions and Decimals 111,,,,,,,,,,,,,,,,,
,,,,Period 4,Tooling,,,Tooling,,,Tooling,,,Tooling,,,Tooling
Algebra Fundamentals 141,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Types of Prints & Engineering Drawings 132,,,,Lathe,Intro,,,Setup,,,Operation,,,Operation,,,Review
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shop:,,Class:,,Mill,Intro,,,Setup,,,Operation,,,Operation,,,Review
,,,,,,,,,,,,,,,,,
Manual Machine Theory,,Speeds and Feeds,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Manual Lathe Theory,,Tolerance and Measurement,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Safety,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Manual Lathe Set-up / Operation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Manual Mill Set-up / Operation,,,,,,,,,,,,,,,,,

--------------------------------------------------

,,,,,,,,,,,,,,,,,
Week 2,,,,,Day 1,,,Day 2,,,Day 3,,,Day 4,,,Day 5
,,,,,,,,,,,,,,,,,
Advanced Measurement 102,,,,Period 1,CNC Intro,,,CNC Intro,,,Blueprints,,,Blueprints,,,Mics
,,,,,,,,,,,,,,,,,
Tolerance Applications 122,,,,,,,,,,,,,,,,,
,,,,Period 2,Parts,,,Parts,,,Parts,,,Parts,,,Parts
Metric System 113,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geometry for Machining 102,,,,Period 3,Tooling,,,Blueprints/AI,,,Parts,,,Parts,,,Parts
,,,,,,,,,,,,,,,,,
Trigonometry Basics 112,,,,,,,,,,,,,,,,,
,,,,Period 4,Tooling,,,Tooling,,,Tooling,,,Tooling,,,Tooling
Shop Math Applications 142,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Blueprint Reading: Section Views 133,,,,Lathe,Turning,,,Facing,,,Boring,,,Threading,,,Review
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shop:,,Class:,,Mill,Squaring,,,Drilling,,,Tapping,,,Pocketing,,,Review
,,,,,,,,,,,,,,,,,
Machine Tool Theory,,Cutting Parameters,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lathe Tooling,,Precision Measurement,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shop Safety,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lathe Operations,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mill Operations,,,,,,,,,,,,,,,,,

--------------------------------------------------

,,,,,,,,,,,,,,,,,
Week 3,,,,,Day 1,,,Day 2,,,Day 3,,,Day 4,,,Day 5
,,,,,,,,,,,,,,,,,
Precision Measurement 103,,,,Period 1,Blueprints,,,Blueprints,,,Parts,,,Parts,,,CNC
,,,,,,,,,,,,,,,,,
GD&T Fundamentals 123,,,,,,,,,,,,,,,,,
,,,,Period 2,Parts,,,Parts,,,Parts,,,Parts,,,Parts
Measurement Tools 114,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Trigonometry: Right Triangles 103,,,,Period 3,Tooling,,,Parts,,,Speeds/Feeds,,,Speeds/Feeds,,,Parts
,,,,,,,,,,,,,,,,,
Sine/Cosine/Tangent 113,,,,,,,,,,,,,,,,,
,,,,Period 4,CNC,,,Tooling,,,Tooling,,,Tooling,,,Tooling
Coordinate Systems 143,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Blueprint Reading: GD&T 134,,,,Lathe,CNC Setup,,,CNC Setup,,,CNC Operation,,,CNC Operation,,,Review
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Shop:,,Class:,,Mill,CNC Setup,,,CNC Setup,,,CNC Operation,,,CNC Operation,,,Review
,,,,,,,,,,,,,,,,,
CNC Theory,,Speeds & Feeds Calc,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mill Tooling,,Quality Control,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Advanced Safety,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CNC Lathe Intro,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CNC Mill Intro,,,,,,,,,,,,,,,,,

--------------------------------------------------

,,,,,,,,,,,,,,,,,
Week 4,,,,,Day 1,,,Day 2,,,Day 3,,,Day 4,,,Day 5
,,,,,,,,,,,,,,,,,
G-Code Fundamentals 101,,,,Period 1,Parts,,,Parts,,,Parts,,,Open,,,Parts/Mock
,,,,,,,,,,,,,,,,,
